comment_copy,final_sentiment
just ok phone not so good oppo reno 7 is far way better,negative
with in couple of days display acts weird see the pic camera not good enough display worst,negative
processor not good and camera resolution very bad i am not satisfied with this phone camera is not clear as much as i accpect,negative
It does what it's supposed to.,neutral
nothing,neutral
okay,neutral
don t buy this product image quality is below average comparing with the specification useless camera and there is no return policy and replacing with same mobile is big headache don t buy this mobile,negative
the camera quality is not that good but still works,negative
good phone but camera is average like 16000 phone they given mono speaker in this price range we can get dolby on other phone anyway performance is good very fast like blink of your eyes but much over,neutral
battery backup is poor no more than 24 hours,negative
No major issues so far.,neutral
affordable price nice look go and take it its to late,negative
it would have been nice if the company had given amoled screen with good stereo speaker more 5g bands and better selfie camera,negative
super mobile,positive
No major issues so far.,neutral
it is a very good phone in this price range good camera quality very good finger print reader overall very nice phone i would really recommend this phone,positive
Received the product on time.,neutral
ok quality,positive
Performance is satisfactory.,neutral
ok ok i like it,positive
quality is very bad,negative
It meets my basic needs.,neutral
my sim is my last mob so can i get back,negative
camera and battery,positive
dont buy this product display quality is so bad,negative
ear phones not given,negative
"Nothing special, just a regular phone.",neutral
Packaging was decent.,neutral
value for money good,positive
Received the product on time.,neutral
may be we are return to one week checking after,negative
i think 24000 is too costly otherwise all ok,neutral
good phone with good camera and performance at this price only proble i faces is wifi connection is getting disconnected frequently,positive
camera quality is very bad chinese smartphone are bad compared to other brand,negative
battery slow,negative
see this smartphone could be used for daily uses i tried to play games on it it was ok but it affects the phone i occured a major display problem and it was so frustrating i recommend this phone only for normal users not for,positive
Looks are simple.,neutral
worst phone it's hanging a lot it's not even a year buying this phone better to go with motorola or any other good smartphone instead of this so do research before buying redmi 9,negative
after months of use while talking a voice mutes or a very disturbing sound comes we will show the issue in gallery,negative
camera not clearly,negative
all are very worst camera not good sensors also not working properly totally mobile is not good i don't like anything in this mobile,negative
No complaints till now.,neutral
Camera quality is acceptable.,neutral
the camera is broken,negative
No complaints till now.,neutral
Performance is satisfactory.,neutral
good phone in budget price,positive
i like it battery life good but front camera quality not good and some option not good but ok,positive
why is it branded made in china really disappointed,negative
good mobile think,positive
The display is fine.,neutral
please don't buy this mobile such a worst mobile camera is utterflop navigation is like china guys face only picture quality is worst phone is very slow in switching between apps sound quality is not good it is like some,negative
mobile is very smart and working well,positive
battery capacity very low camera very simple not worth for money poor qualitybattery life very baddon't go for this using 6 months after review,negative
from day one i have issue with this mobile this is the worst product i have ever seen in my life samsung m32 amazon customer service is also not responding properly please no one will buy this phone,negative
yep ok good mobile with less cost but battery draining fast,positive
battery life not good,negative
i like it's many features like battery life touch quality screen colour preview etc and processing without hanging working superb experience 10 10 mark,positive
headsets are missing in the phone box where are the original headsets its normally included in phonebox,negative
good and usefull,positive
"Nothing special, just a regular phone.",neutral
price is premium,positive
samsung people are cheater don't buy i had purchased samsung m32 last month and facing issues like connecting phone call after 1 min battery is draining too fast in half day 100 to 30 charging time,negative
It meets my basic needs.,neutral
"Nothing special, just a regular phone.",neutral
great product,positive
do not buy there are plenty of other good options for the price the issue is the processor i just felt it's too slow compared to the mobiles available the phone is also bit thick and i think its manufacturing is stopped,negative
Camera quality is acceptable.,neutral
the performance 4gb extended ram makes this item the best performance package at such a good pricing,positive
must go for it,positive
good phone good picture quality,positive
mobile damage i want to warranty,negative
Feels okay to hold.,neutral
The display is fine.,neutral
like every feature,positive
camera quality is not good as well as amazon does not accept return buy from other websites which accept returns,negative
i like phne,positive
Packaging was decent.,neutral
the camera is not upto the mark otherwise everything looks okay,positive
i am not happy with display because of low brightness camera is also average 50 mp is only for namesake but everything else is good on this phone case in box is good quality fits perfectly covers edges of display provide good protection,negative
better at this price no issues so far,positive
the phone is excellent but if the front and rear camara should be high and should be their dark mode compalsary but it should be added fastly and should give ear phonesonly main default is not nice camara should be high because the less cost mobiles,positive
i like this mobiletheir are so many feature,positive
The display is fine.,neutral
the product is very good but i think i have to improve the camera quality,positive
Performance is satisfactory.,neutral
i have iqoo z6 5g it take about 2 hour to full charge and photo is not up to the mark sound quality also lack,negative
please don't buy this phone this is a very lagging phone i don't know if the phone is faulty or the processor is not good i wasted money and amazon doesn't have a return policy only replacement camera is,negative
it's good for minimum usage people,positive
very nice mobile with best processor software i bought it under sale on amazon after exchage rs 6000 only,positive
nice mobile i am fond of redmi phone,positive
good quality and display is average,neutral
gyro scope delay in bgmi,negative
best phone value for money,positive
It meets my basic needs.,neutral
i have purchased a new mobile the camara is not working not clear very bad clearity worst,negative
It does what it's supposed to.,neutral
the battery backup is excellent overall a good phone,positive
mobile is awesome color battery processor but the front camera quality is not good,positive
nice phone satisfied with it value for money,positive
very good working i am fully satisfied withthe mobile,positive
sometimes its touch not proper,negative
camera is ok,positive
Looks are simple.,neutral
voice not good,negative
Feels okay to hold.,neutral
i have been using this device for more than 10 days it doesn't hang battery is giving amazing performance my device was with no defect i have no complaint about the device,positive
good phone with great performancebut with average camera,positive
i have purchased so many products from amazon but this phone is not working at all after using 15 days not satisfied with this phone dear amazon take this back and refund the amount,negative
the image was so bruel iam not satisfied totally the back camera was so bruel change my phone to new phone ican not comfortable,negative
back glass missing and why useless advertisement is showing improve camera quality,negative
nice phone sometimes heated issue,positive
it could be better in this price range not satisfied with touch sampling rate ui is also not good just okay for normal users not recommended for gamers,negative
bad phone,negative
"Just started using it, will update later.",neutral
i love my phone,positive
battery life fingerprint and cers quality is quite good,positive
my sister was in angry and that after she came in my room with a pic of iron and beat on the phone there after i checked my oppo a31 phone then i was shocked how did this happened nothing had happened my phone only upper glass,negative
front camera is not good,negative
pros battery life normal usage i get 2 days performance i am not a gamer so i couldn't find any lag in day to day usage display amoled with 90hz audio stereo speakers cons,positive
amount refund please,positive
Installation was easy.,neutral
"Just started using it, will update later.",neutral
It does what it's supposed to.,neutral
best phone under 15k,positive
quality is veryheavy weight feel like ironcamera quality is very poor,negative
Looks are simple.,neutral
Performance is satisfactory.,neutral
excellent product,positive
the phone is not according to its features it's camera and speaker is very bad,negative
this is a good mobile for first time user,positive
the product is nice the battery life is also good apart from the camera quality not apt the mark but overall value for money product only issue is they not provide me tempered glass back cover too along with handset they should provide this,positive
best android phone is affordable price amazon serving is top class exchange service is awesome and no any silly question ask while mobile replace and is very smooth process must buy everything from amazon only,positive
great product thank you amazon thank xiaomi,positive
its too heavy to carry and not easy to use mobile not worth it better to go for other brands which are lighter and easy to use,negative
it was a good phone for ur day to day life use,positive
valuable mobile of this range overall i things ok,positive
nice mobile,positive
all are good but resolution slightly low and battery charge low,positive
it's working good and features are amazing but camera is of low quality,positive
"Just started using it, will update later.",neutral
a fantastic mobile with awesome features,positive
microphone and speaker is not working properly and the look of phone is also very bad colour bifrost blue please dont buy this redmi 10 prime,negative
Performance is satisfactory.,neutral
i'm writing this review after using 30 days be to honest this is normal android phoneit's not like onepluscamera quality very lowsound also lowoverheatingbattery backup ok for one day normal use itsoverall price,negative
look is best but battery backup poor continue watch video 3hour backup time,negative
not bad,positive
camera quality poor,negative
"Nothing special, just a regular phone.",neutral
Installation was easy.,neutral
all things are likel,neutral
Feels okay to hold.,neutral
Build quality is moderate.,neutral
battery backup goodawsm display camerabeautiful colours and designsamsung oneui good90hz display wowthanks samsung and amazon,positive
Installation was easy.,neutral
good phone within budget the camera quality is ok and the interface is also good not recommended for non jio especially airtel internet users due to internet compatibility issues overall it's an average product within budget,positive
everything is good except the quality of camera it does not feel like 13mp camera after taking the pictures very much blur images,negative
Performance is satisfactory.,neutral
Speaker output is normal.,neutral
not a good phone at all it's been just one month i bought this phone n it keeps on hanging soo soon,negative
ok under 14k,negative
this is amazing mobile phone battery life is very very good,positive
i am an average user with no heavy application or gaming use but the battery doesn't even last for 1 full day it sucks,negative
very bad product camera quality is very bad don't buy is phone amazon service is also very bad one to go for a bad product,negative
i like this phone for high speed battery charging and ram,positive
Speaker output is normal.,neutral
excellent finger print senser battery life is very good and camera quality is average but not satisfied with charger type c,positive
very poor camera performance china phone have better camera performance then samsung m32 in my home almost every product of samsung i have but now after this experiance i will not purchase any single item of this company even i suggest amazon not to,negative
battery camera quality nice,positive
Build quality is moderate.,neutral
Speaker output is normal.,neutral
satisfied with product value for money,positive
display is good but performance is slow and low memory space,negative
front camera results are not good,negative
it's good but it hangs sometimes it's best for school kids house wife and grand parents not for youngsters,positive
don't expect a flagship camera but in 20k you have a very smooth performance and never heat up only i feel stereo speaker should have been there rest all are perfect and yes i use many apps even,positive
Build quality is moderate.,neutral
product was awesome,positive
dislike,negative
hanging problem not value for money not good weight very shrink company may manufacture is more decent but they can't,negative
looking amazing like cristal mat finish back panel with multiple colour reflection,positive
redmi should have improved the camera quality of this prime couldn't sense 50mp i have redmi note 10 wherein the camera quality 48mp is class apart with that perception ordered this prime10,negative
nice product but as mentioned above i haven't got any case,neutral
this product is totally waste hanging it doesn't work properly more over it's not returnable only replacement think before you investment or buying such a bad mobile,negative
all mobile accessories mobile is ok,positive
the front camera is the worst sound quality is also not that good value for money zero recommendation to purchase a big no,negative
Average performance.,neutral
pathetic camera pic quality regretting not a worth mobile,negative
most ridiculous phone ever highly expensive but no any special feature waste of money finger print scanner is the worst in all do not open lock screen oftentimes,negative
large touch screen actually this mobile was a gift to my dad he loved it,positive
good product value for money,positive
No major issues so far.,neutral
12000 is the best phone for 12000,positive
works well and is value for money got same day delivery for prime members,positive
recommendable,positive
battery life is very very very bad it's going on only 5 hours for 1 time full charge if you use the mobile so this is disgusting,negative
camera quality is bad,negative
this phone is not good battery life or charging problem 5 hours may not get 100 charging or 5 to 6 hours may be finished charging your phone,negative
Looks are simple.,neutral
good battery performance fingerprint reader is also fast hassle free value for money within the price range i m a happy user,positive
but fingerprint has not to side montade,neutral
"Just started using it, will update later.",neutral
everything is too gud but camera is not good,negative
Installation was easy.,neutral
budget smartphone in this price range,neutral
Camera quality is acceptable.,neutral
this is an ok ok model not so special one to go for it the cam is ok the phone gets heated while charging the phone charges fast if you are a gamer don't go for this if you are a mild user of,neutral
darkness while taking photos and videos,negative
excellent device at affordable price battery life is also good with fast changing support i bought last year in november and facing no issue yet,positive
front camera not good,negative
Camera quality is acceptable.,neutral
worst camera ever don't buy this and when we called customer care they replied like we are not seeing any issue camera is perfect as mentioned in details totally waste of money,negative
not working properly6day problem in mobile,negative
great product,positive
you can't expect this sort of premiums in the other phones in the same price range even if they offer better on paper the in hand experience and quality are far better the quality and combination of both software and hardware is awesome and super,positive
up to the mark,positive
Camera quality is acceptable.,neutral
Received the product on time.,neutral
the battery life is okay you can get a decent battery backup for almost a day if you are not into extensive mobile use,positive
Average performance.,neutral
the battery is good the built and finishing is good but the display is okk okk,neutral
camera quality not so good,negative
comfort,positive
No complaints till now.,neutral
it's an amazing phone,positive
camera quality is very poor only like 5000 range mobile,negative
camera quality not good like 50 mp not so slim phone bakwas hai ye phone but other qualities of this product was good,positive
thats right many bugs in this phone every time you call the call is hidden in your background call recording is not working,negative
display is not great,negative
battery heat,negative
the charging wire quality is not good the wire started melting after 2 days of use and had to buy a new charger out of my pocket going 4 5 star for phone but 0 star for charger,negative
got on exchange of my smartphone according to price very good,positive
mobile working very slow,negative
phone is good,positive
bought it for my father and he loved it thanks amazon for an early delivery and exchange,positive
my product is very slow internet speed so please return this item,negative
it's good,positive
this phone has some problem with fast charging within a month usb port stopped working it is not connecting to system or any other external storages,negative
the worst product no sound clarity and display also some time come lines in display i am returning this produuct worst service as a prime member i didn't not received product on time waste of money and time,negative
good phone no complains so far and also its bit early for review need to use it at least for few months before providing review,positive
excellent product with good futures good for online class or wednor,positive
it is totally damaged in 2 months,negative
i want return mobile,positive
waste camera quality reminds me of old technology days,negative
very good phone good camera battery charge fast battery pack up is long display is very good,positive
Camera quality is acceptable.,neutral
awesome phone in this price segment dont go with negative reviews but camera needs some improvement in macro lens,positive
it doesn't have any thing new nor less a good product if u want to buy a cheap mobile have descent camera not extraordinary,neutral
very worst mobile camera is very bad fingerprint sensor does not work properly do not buy this mobile it's only a wastage of money,negative
nice products,positive
good multimedia phone,positive
finger print not fast phone not fast,negative
It meets my basic needs.,neutral
overall good,positive
quality design only thing is missing is slider button,positive
excellent display and battery clean ui decent performance for more information visit my channel technology tour youtube channel,positive
Battery life is neither good nor bad.,neutral
based on budget phone is ok ok lag in finger sensor time taking to charge screen resolution is not upto mark ui not friendly,negative
Camera quality is acceptable.,neutral
os keeps closing background apps too soon ui stutters too much not worth it,negative
everything is fine in this phone but the build quality looks much cheaper and camera quality is worst then 10k phones and genuinely my older phone realme 5 pro gives much better picture quality then this phone previously i have used oneplus x too and,negative
simply superb and redmi is always top notch,positive
super phone the camera quality is lit,positive
mobile back cover is not in the box and offline price are low 8200 rs,negative
awesome phone under 25k,positive
Looks are simple.,neutral
provided me damaged product one month works okay then touch didn't work had problem with sensor not able to do call then started hanging when i asked for replacement no proper response from amazon asked me to contact oppo service when,negative
worst got dead camera is worst lock doesn't get open spending 9 k and such quality,negative
bad product,negative
Feels okay to hold.,neutral
the product was nice light weight nice colour and camera was excellent visibility is gud audio also gud so i am satisfied with the product i suggest people to buy this model mobile,positive
No complaints till now.,neutral
nice set according to price,positive
camera quality is not up to the mark otherwise it's good in this price segment definately buy,positive
Speaker output is normal.,neutral
got it with a discounted price camera is worse have charging issues after miui 13 but i think those will be fixed other than that it's quite sturdy device with acceptable performance at this price point,positive
mobile operator is very smooth like a butter processor is best but battery is drain fast but camera is quality is awesome mobile operator is very smooth like a butter processor is best but battery is drain fast but camera is quality is,positive
It does what it's supposed to.,neutral
all good,positive
buttry,negative
after using 4 days we come to know the same issue like face recognition is not working and when clicking finger print button getting long beep sound,negative
No major issues so far.,neutral
defective product was received but amazon replaced after raising the issue wish amazon to continue the same in future,negative
Average performance.,neutral
good phone but there aresome problems as low proximity sensor disappointing google dialer low detailing in camera good processor,negative
It meets my basic needs.,neutral
very bad mobile camera is useless,negative
it's good,positive
camera not clear when we take photo it will come snooze like please help me,negative
The device is okay for daily use.,neutral
Packaging was decent.,neutral
Feels okay to hold.,neutral
No complaints till now.,neutral
Speaker output is normal.,neutral
Battery life is neither good nor bad.,neutral
purchased this around may end and got it delivered by june 1st week 2021 so basically i have used this for 3 months i am not someone who uses phone for gaming or prolong use i use it just for,neutral
The display is fine.,neutral
network connection problem phone often to switch off,negative
Feels okay to hold.,neutral
i have ordered this mobile it doesn't detect 5g wifi net work i called the amazon and replaced but the replaced one also same problem so i have returned the item the latest mobile which cannot detect the 5g wifi its really,negative
phone is good in segment i love the display its very clear and detailing battery back up is super goor performance built quality finishing etc are excellent on the part of camera iam very disappointed cz redmi need to improve the clarity of camera,positive
long lasting battery good speed sporty orange color looks nice over all mobile looks nice amazon delivered quickly i feel happy to select this mobile,positive
good product value for money,positive
overall mobile is good for battery back up fingerprint reader and wonderful quality camera giving out clean snaps,positive
charging portal not working in 10 days post buying even spare part not avaialble in authorised service centre not good,negative
as a one plus handsate not performing better comparison to other one plus set overall condition good not better one more camara quality is also not good performing is not better overall average mobile,negative
designwise looking good but camera not upto the mark other things i will review after one month usage,negative
whole world in your pocket it has everything a modern civilised tech influenced human needs good price,positive
budget phone,negative
battery life is good processes r g85 was ok but refresh rate 60hz is too low minimum 90hz so phn 10499 at this price it's just ok not supperb,negative
Packaging was decent.,neutral
the battery back up and display are awesom,positive
gifted this on mom's birthday she absolutely loved it,positive
i want to replace it or buy other mobile plz not buy this mobile,negative
hitting and hanging problem,negative
Speaker output is normal.,neutral
The phone works as expected.,neutral
looks good,positive
The device is okay for daily use.,neutral
It does what it's supposed to.,neutral
this phone using my brother but overall it's good and worth in that price,positive
it's very problem not charging some time display also not working,negative
camera quality averagebut battery capacity is the best,neutral
quality issues,negative
It meets my basic needs.,neutral
amazon's best sellers service is a great phone,positive
it's totally waste of money this is not original phone slow proceeding poor camera total waste,negative
No major issues so far.,neutral
really disappointed with it's performance i bought a 6 gb variant lags a lot apps are not optimised ui is very old feels like you are using a 2 gb phone other brands like realme offers a lot better option,negative
basic model i would say not at all good,negative
Feels okay to hold.,neutral
an excellent mobile phone has every thing you can wish for,positive
No complaints till now.,neutral
the phone is very good for this price segment i got it for 13499 4 64 everything is good except the camera camera performs terribly in low light conditions in proper light it performs well the front camera over process,negative
no cashback,negative
review after 4 months of usage like design build up quality battery backup charging speed dislike weight of the handset night time the picture quality of camera is so so even using special night mode,positive
looking stylish,positive
"Nothing special, just a regular phone.",neutral
The phone works as expected.,neutral
battery heating problem,negative
very bad,negative
clear sound and quality and loudernice camera quality at this pricebattery is goodsmoothest phone at this pricefor gaming it is best at this low price i didn't expect that much form this device but this is amazing,positive
the camera is not as good as m21 not satisfied 64 mp is only for looks camera is poor than m21 48 mp m21 was the best piece,negative
like low price dislike screen resolution display doesn't have notification blinking light vga camera lot more think twice before buy,negative
not bad but not good for hd calling while video calling through screen is sleepes automatically,neutral
i am a student i use this phone for games and online classes its battery backup and speaker are best only camera is ok not best it has 10x zoom but it's only for name in 10x,neutral
amazon delivered a used phone after one week the major problem was the display was full white what can i do worst service of amazon,negative
Feels okay to hold.,neutral
liked the product,positive
everything is good,positive
very nice mobile,positive
Battery life is neither good nor bad.,neutral
so nice,positive
the camera is not 50 mpphoto quality also not good,negative
web surfing,neutral
did its job,positive
don't buy this mobile phone money weast screen tach problem no camera quality no battery life phone very slow please don't buy this mobile phone please,negative
good camera phone under this price over all value for money and also brand just go for it battery backup also good,positive
this is the first time i am upset with mi mobile the camera quality is very bad i suggest you not to go with redmi note 11 pro i am lucky that i am able to return it don't,negative
price 25k is quite high compared to other phones mi samsung vivo oppo battery 4500mah is very low capacity for 25k battery back up max one dayfast charging,negative
The display is fine.,neutral
not bad,positive
Battery life is neither good nor bad.,neutral
the color is not as shown online the blue is very dark little slow while switching one app to another,negative
nice product from mi,positive
very slow phone sound is not proper whenever hd videos played not happy at all with this phone,negative
everything is top notch very good phone,positive
very bad experience the problem started from day 1 i thought there is a network issue so the phone is disconnecting and the voice was not clear but actually the problem was with the phone please don t buy this product strictly recommended,negative
battery drain fast performance is not fast camera quality is not good as expected,negative
very low voice in phone call dont bye,negative
thanks,positive
worst camera quality,negative
i bought a samsung m32 like 1 5 month back and now i regret i should have rather bought a mi or other brands or coz this gets hanged or slowed down alot times now initially it seems a great experience but now,negative
if you purchased this type of one plus brand within a budget then it's a great deal now very handybattery is averagecameras quality is very good screen is amoled so it's easily gives nice experience last but,positive
oder not completcharger adaptor missingi have received mobile phone charger cable back cover sim remove pinbut charger adaptor missing,negative
The device is okay for daily use.,neutral
mic is not working on calls the same only works by putting call on speaker have complained multiple time and amazon is not ready to replace the defective phone horrible experience with amazon for 1st time,negative
Feels okay to hold.,neutral
worst mobile slow or very disappointed don't buy,negative
like product,positive
it is too much best smartphone,positive
Received the product on time.,neutral
unfortunately stolen in month of purchase,negative
i think i didn't like the side fingerprint option that much the camera and battery part is something i'm satisfied with,negative
bettery life is very poor,negative
i've used only samsung smartphones for the past 10 years and avoided chinese sets but while the chinese phones have matured up with time samsung has gone downwind while this phone is decent to look at it's camera is,negative
camera quality is not good,negative
if you want amoled 90hz display than buy,positive
everything is good,positive
Build quality is moderate.,neutral
Build quality is moderate.,neutral
fingerprint scanner is not accepting my fingerprint camera is worst performance is low and sound is also worst,negative
"Nothing special, just a regular phone.",neutral
fingarfrint,negative
Build quality is moderate.,neutral
superb no more words it is awesome,positive
super duper phone,positive
the phone is not up to the mark callers voice is not audible we need to talk through speaker at times camera quality is not very good,negative
product is good but performance is not well as expectation if we have 6 gb ram and 128 gb rom in this configuration the mobile phone should be best in performance wise smoothness performance not good weight lightweight,negative
hanging problem camera quality is ok battery performance initially is good but after 15 days it downs within12 rhs,negative
No complaints till now.,neutral
worth the money,positive
camera quality not good it's so poor,negative
if you get it in below 9k then fine but sound quality is not good,negative
Battery life is neither good nor bad.,neutral
Packaging was decent.,neutral
Feels okay to hold.,neutral
It does what it's supposed to.,neutral
No major issues so far.,neutral
in terms of speed memory and ease of use it's good battery and fingerprint reading are excellent but when it comes to the speaker output with certain well known apps such as zoom it's not good also the recorded,negative
good product oppo mobile,positive
the camera is very bad,negative
"Just started using it, will update later.",neutral
oneplus nord ce 2 5g is the best phone under rs 25000,positive
doesn't feel robust one you have too very careful while using it cellular and wifi networks not upto mark,negative
over accepted not good mobile price high,negative
i like this phone for the light weight and looks perfect in hand the finger print reader is good but the battery and camera is not like that i expected,positive
super smart phone easy and smooth operationno heatingno hangpura paisa vasool phone,positive
excellent phone according to price,positive
i'm writing this review after using the mobile for 2 months this phone is fine i face only heating issue it takes to charge 35 40 mins from 15 to 100,positive
good one,positive
price are good quality not so good,negative
the camera does not open,negative
hanging problem and not solve after service under warranty so i exchange don't by mi 9 any series,negative
Performance is satisfactory.,neutral
budget phone for my child shivansh,negative
processor is quite slow,negative
this is best phone under this price good performance massive battery life good camera very fast finger print scanner,positive
the whole mobile is made of cheap quality plastic back panel seems like just paper back panel is paper thin and shakes like hell when we play music it reminds me of typical chinese mobiles that used to sell 10 12 years ago,negative
brightness and sounds are the only issue audio jack is a bit loose and camera quality is terrible rest are gd for the price you paid and the battery is bomb,positive
incoming and outgoing calling issue typing not work lots of issue also performance not good totally wasted money there is no return policy wasted money amazon looting because of this type of policy,negative
guys don't buy this mi phone display problem occur with in 3 month and doesn't resolved by mi service center,negative
Speaker output is normal.,neutral
jot happy with the camera quality,positive
no back cover,negative
hanging my mobile very too much bad condition device totally bad,negative
no1,negative
bed fon,neutral
good quality and most expensive product,positive
ringtone volume very slow,negative
nice on box there is a headset but we are not found under the box,positive
demerits of this phone1 it's not working like 120hzs refresh rate display too much lagging during uses 2 battery backup is not good 3 don't expect that this is fast by,negative
Camera quality is acceptable.,neutral
It meets my basic needs.,neutral
the phone is sleek the display is bright and crisp the camera could have been a little better the battery life really surprised me overall it's a good phone no major issues,positive
very low quality mobile camera low quality hanging i think it's a duplicate product provided by the company,negative
average mobile in this range,neutral
battery life is shocking easily 10 to 12 hours of screen time,positive
so much of applications issue hanging many times doesn't meaning of having 4gb ram not fast charging i have changed start from two to one since it is not worth product for 11k as lot of hanging issue if call received,negative
the screen stoped working just 7 months ago and they gave only 6 months warranty what to do now very disappointing no one is supporting now neither the samsung care nor amazon people if you are getting good quality in other company go,negative
phone storage is 128 it's good fingerprint and face recognition also good but battery status should improve the picture is wrost,positive
Average performance.,neutral
awesome phone in this price,positive
sound quality is poor speaker is also poor quality,negative
Feels okay to hold.,neutral
back camera quality not good,negative
headphones missing in the seal box,negative
the camera is the worst not worth 15k getting hang singal capture is very poor,negative
"Just started using it, will update later.",neutral
fingerprint reader 5 5camera 3 5display 5 5ir blaster 5 5face unlock 4 5battery 5 5unnecessary bloatware guys root this phone to get rid of bloat ware you,negative
horrible phone hangs a lot,negative
The display is fine.,neutral
No major issues so far.,neutral
its a good budgeted phone everything is good except the camera quality but those who are not cares about the camera its a wonderful option,neutral
the phone is heating up too much the charger is taking quite some time to charge 25 in an hour that's very poor cherry on the cake is amazon team is not at all supportive,negative
don't waste your time and money on this cheap phone very bad experience,negative
this is the worst mobile in note series from redmi it lags very much and it's 50m camera dosent work properly it heats ups very quickly and it's display quality is very bad it's graphics is also very bad,negative
good service,positive
bad experience with this phone sim not detected in phone,negative
very good mobile,positive
good finger print good battery backup camera average not bad okphonenicephone,positive
It does what it's supposed to.,neutral
i love this phone bettery backup and quality is awsome,positive
camera quality and battery life can be improved,positive
i realy love this phone,positive
Camera quality is acceptable.,neutral
nice one,positive
camera quality is so low,negative
i bought this for the performance and good camera but 50 mega pix photo quality is worst and i have been using this from last 3 4 months don't buy this phone,negative
this product very bead,positive
No complaints till now.,neutral
reasonably good phone in the budget,positive
It does what it's supposed to.,neutral
Average performance.,neutral
overall this is slightly 'above average' phone camera is average battery is below average charging is excellent software is excellent display is just average,neutral
finger are not working,negative
Installation was easy.,neutral
right the camera isn't anything special,neutral
worst phone,negative
Performance is satisfactory.,neutral
heiting problem,negative
worst phone that i received a damaged one it's start giving trouble to me it's continuesly switch off i can't able use a phone for not even a single minute,negative
phone is good except for the camera pictures look like it is taken from a 5mp budget phones it is okay for normal use good display,negative
The device is okay for daily use.,neutral
too much lag wifi issues feels like 3 gb phone 1aste of monee,negative
the product is compact value for money,positive
none of the above,neutral
Packaging was decent.,neutral
quality not good,negative
best phone as a prize,positive
Average performance.,neutral
defective piece,negative
the battery life and overall experience is good,positive
a good phone in budgetbest battery lifeaverage camera qualitygood processor for this pricegot it in 11k with card offer,positive
The display is fine.,neutral
Performance is satisfactory.,neutral
photos in low light is not good and photos are little blur could not meet expectations,negative
Feels okay to hold.,neutral
It meets my basic needs.,neutral
took a picture from my phone checkout,neutral
good product no cons as of now,positive
The device is okay for daily use.,neutral
really worth buying if soft use,positive
phone performance is low,negative
the camera quality is very poor not clear video call not ok,negative
i like,positive
fingerprint reader is great battery is good camera need few more improvements,positive
this phone started hanging and heating in a gentle usage only amazon technician confirmed it has hardware issue really disappointed with the quality delivered by realme,negative
hang too much,negative
"Just started using it, will update later.",neutral
nice affordable,positive
the finger print sensor was superb the front camera in this price are really badi'm really disappointed with camera other features are impressive,positive
all is good,positive
review after 2months user friendly camera is good night time front cam no good pics but back cam has flash light and can take pics better storage capacity is good i always like oppo because of its camera quality one drawback is,positive
camera quality is not good otherwise it is ok,neutral
oneplus nord ce 2 is value for money camera quality is awesome battery is good and fast charging is awesome colour and design is nice overall it's worthy oneplus never settle thanks amazon,positive
started heated after 2 hours uses everytime we have to the from home and we need long form of electronic devices,negative
the picture quality and video is very good,positive
display quality is awesome front camera average allover mobile is good in this price range,positive
It does what it's supposed to.,neutral
Camera quality is acceptable.,neutral
Average performance.,neutral
seriously very bad camera quality lots of noise,negative
No major issues so far.,neutral
quick performance but camera quality is not good,negative
very very bad product i hate it phone bcm heat and worst front came and back came also heavyweight week signals prblm totally wst of money,negative
best part is the end,positive
installation is not easy google option page did not appear final agreement page did not open fully phone sound is very low difficult to hear phone cover was not supplied headphone was not supplied,negative
not good performance camera cuvalti not good,negative
bought in october 2020 one day delivery from amazon great as always using the device since then so here is the detailed review of redmi 9 built quality is good overall feels a midrange smartphone and a bit,positive
bad selfie camera,negative
i like all the features of this phone fingerprint work quick battery backup is good and it's camera quality is amazing,positive
it has 2 back cam and one flash lightbattery life is good camera avaerage sound is not good mic is not working properly,negative
she is too happy to use this phone and battery life is too good,positive
64 mp seriously it is not even close to 8mpbetter go with other options for camera lovers,negative
The phone works as expected.,neutral
mobile is ok but camera clearly is not good in this megapixel it should be updated,negative
touch screen doesn't work at all it gives trouble when swiping or opening phone clicking on call etc also phobe doesn't get locked when we are in call it gets disconnected,negative
pros display speaker battery charger cons not fast performing poor memory management,negative
camera quality is very bad,negative
performance is nothing my 4g sim data is not working properly in this phone and it take more time to charge,negative
"Just started using it, will update later.",neutral
No complaints till now.,neutral
It meets my basic needs.,neutral
no words quality is superb it lived up to its name would recommend to all,positive
Camera quality is acceptable.,neutral
No major issues so far.,neutral
The device is okay for daily use.,neutral
best price,positive
pretty good for general use camera quality isnt bad and the 6000 mah battery comes in handy overall itsan averagely decent phone,positive
the phone was working well the only disappointing thing was that there was a big scratch on the phone,negative
got the phone 2 months back now all of a sudden without any damage i get these strange display problems i can't use my phone at all have tried hard reset recovery mode nothing works,negative
redmi is better than realme this is my first experience with realme and will never purchase a realme phone in my life camera worst quality,negative
superb mobile,positive
the phone is just awesome but the camera quality is not that much good,positive
the battery is very good but the camera quality is not satisfied,negative
It meets my basic needs.,neutral
Build quality is moderate.,neutral
nice phone great performance super fast charging overall complete package phone my first one plus phone love it,positive
over all ok good,positive
lags sometimes while handling everyday task like social media apps and auto refresh rate while on 90hz makes the experience worst battery life is outstanding and that's the only upmark of this phone,negative
Average performance.,neutral
amazing product which suits to my requirements at such a low cost and this solves most of requirement,positive
