comment_copy,final_sentiment
,positive
,positive
,positive
,positive
,positive
,positive
,positive
better item and full value of money,positive
its not a good product,negative
phones slow and hang,negative
don't buy it,negative
,positive
not better momment late charging very slowly,negative
,positive
the picture quality is very good,positive
i like it nice product,positive
nice phone go for it,positive
best mobile ever,positive
fingerprint is good,positive
battery is too good smooth and fast processing,positive
fantastic product,positive
very warast,negative
outstanding,positive
,positive
the product was awesome,positive
phone is getting hanged and struckneed replacement,negative
,positive
tempered not received with the box not so good performance campare than vivo u10,negative
every part battery finger print all are working so well,positive
now it is very good,positive
the picture quality resolution is not good,negative
good and excellent service and product,positive
,positive
very good smart phone,positive
super product and useful,positive
good one,positive
,positive
not as shown,negative
it works very well,positive
camera not working,negative
charger in the back,negative
,positive
,positive
,positive
,positive
everything,positive
have used this heavy and battery has supported super love this,positive
s,positive
,neutral
,neutral
good products heavy duty,positive
phones camera is pathetic,negative
camera is not good,negative
battery backup low,negative
it s worth for money,positive
ok but as compared to price,neutral
,positive
nice quality product,positive
fabulous,positive
everything is goid but sim holder is not available,negative
all the features of this phone are good,positive
,neutral
the product is good and value for money,positive
good v good,positive
the camera getting poor day by day it was not clear,negative
,positive
camera quality mobile light is very bed don't purchase this mobile,negative
no c type charger battery poor performance,negative
best quality best product by amazon thanks,positive
overall it is a good product,positive
not providing gst bill please don't purchase,negative
not compaire with hopes,negative
the phone has defect not able to listen some time and also other person not able to hear,negative
issue with mic,negative
,neutral
so many times hang up on mobilebad product,negative
battery life good,positive
,positive
long life battery,positive
,positive
wonderful,positive
,positive
yeah the phone is ok but the camera quality is low,negative
,positive
over all performance good as a normal user,positive
not display shows,negative
battery back very dull,negative
a product is osum,positive
not clear,negative
there were no headsets,negative
,neutral
,neutral
,neutral
,positive
original product by amazon,positive
battery life is good,positive
screen stuck after 5 days waste product,negative
just good not reached my expectations,neutral
,positive
waste it's stucking,negative
this is not good,negative
product is good but automatically goes to silent mode,positive
worest product,negative
i recive today morning a31 oppo mobile without headphone what will do when i open box no inside headphone,negative
it's a good phone for the price it is worth it to buy,positive
third class phone,negative
third class mobile and service don't buy this mobile use only 20 days and mobile not work,negative
please don't buy oppo a31 it is so worst and touch not working properly from date one,negative
,positive
battery life screen quality and touch screen is very good,positive
nice product i love it,positive
processor speed,positive
not good camera,negative
not bad product,positive
worst mobile,negative
the worst phone,negative
,positive
it is very nice,positive
,positive
phone is good,positive
not up to the mark we we expected,negative
average,neutral
goodone,positive
average,neutral
,positive
worest services,negative
phone has a problem,negative
,positive
a worst product a31,negative
 in an affordable rate nice performance,positive
peso is good,positive
old stock used,negative
worth the price,positive
average mobile,neutral
wasool,positive
,positive
,positive
camera is good,positive
waste of money,negative
camera quality is not good under price10 500,negative
product is good bettery life not good,negative
according to the amount it's good but it could make it better,positive
super phone the camera quality is lit,positive
,positive
cameras should be improved not worth it,negative
,positive
delivery communication is good delivered on time,positive
this warrant is not giving me headphone and mobile so good but extra work time this phone,negative
speaker was not good,negative
all quality are ,positive
,positive
battery back up low,negative
best mobile for gaming and clicking the pictures,positive
recommend purchase,positive
recommendable,positive
not upto mark,negative
waste product,negative
not satisfied,negative
user friendly,positive
nice but not excellent,neutral
sound quality is poor speaker is also poor quality,negative
,positive
,positive
good speed and swift to use,positive
,positive
everything is good,positive
mobile heat when charging,positive
within two days i got my phone speed delivery thanks,positive
,positive
,positive
,positive
nice service,positive
,positive
best quality,positive
ear phones not given,negative
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
above average phone,positive
very bad products,negative
this mobile full hd is very well but miss it,positive
worst mobile ever just i buy 2 months back display gone,negative
finger print not working while charging,negative
hang problem,negative
battery life,positive
i like a lot,positive
,positive
best quality,positive
best sellers,positive
super mobile,positive
hang problem,negative
not a good product,negative
the picture quality and video is very good,positive
,positive
i am not able to downlode the invoice pls help me,negative
fone is getting hang again and again,negative
the phone is not working,negative
,neutral
best mobile oppo a 31 6 gb ram 128 gm rom fast work,positive
takes a long time to charge,negative
i liked the item,positive
super phone,positive
web surfing,neutral
all is well,positive
all is well,positive
low clarity,negative
better life,positive
good mobile,positive
worst phone,negative
nice mobile,positive
,positive
i'm done,negative
worst mobile hanging worst app for shopping,negative
,positive
slow chargerslow processor,negative
product is up to mark,positive
don't buy this product waste of money,negative
,neutral
satisfaction to have this in this price,positive
,positive
,positive
i like this mobile very much also good product,positive
oppo mobile hanging problem,negative
happy,positive
phone is over hit during video call and charging,negative
super mobile,positive
poor,negative
the display is good good quality pics,positive
not bad,positive
like it,positive
picture quality is bad for this resolution will not suggest to purchase,negative
good buy,positive
good product light wight value for money good camera best phone,positive
,neutral
poor display quality and display brightness is very dull,negative
except the battery everything is good,positive
,neutral
,positive
good brand oppo and very nice phone,positive
very super,positive
disgusting,negative
,positive
super noce,positive
amazing,positive
very good set of actors,positive
,positive
,neutral
,neutral
best in price or class,positive
a number,positive
the camera quality is bad and very slow,negative
overall good phone for this price,positive
not worth the money,negative
,positive
enable to open oppo browser,negative
very very bad mobile,negative
,positive
camera quality is very bad,negative
phone is hang,negative
,positive
,positive
display problem mobile not good,negative
ear phone is not came in the box and screen protector also not came in the box,negative
this is a very bad product,negative
processor is not powerful,negative
battery problem,negative
very worst product damage within 3 months,negative
west product,neutral
,positive
poor performance,negative
it is an amazing product by oppo,positive
i like to,positive
very nice mobile,positive
nice mobile,positive
36 hrs calling in one charge 24hrs music and 12 hrs video,positive
,positive
,positive
long life,positive
it's good,positive
sound low,negative
,positive
,positive
,positive
,positive
i like it,positive
good luck,positive
very beautiful look and to gud featuresas it is,positive
,neutral
mobile version not working please replace mobile,negative
twice a day i have to charge my battery,negative
very good mobile,positive
mike is not working send default product,negative
that s a good product,positive
must,positive
nice work,positive
don't ever buy this product on amazon,negative
,neutral
selfie master,positive
i received my phone today and the charger is not connect to the phone,negative
overall best buy at this price,positive
,positive
,positive
we much effective,positive
battery condition very low,negative
,positive
,positive
,positive
good product value for money,positive
excellent product and amazing fast delivery thank you amazon see you soon again,positive
i'm sorry,negative
i like this one,positive
mobile processor is very bad,negative
,neutral
,neutral
worth it,positive
good one,positive
good one,positive
all fine,positive
worth to buy this product with this price range,positive
i like very much at above product value for money,positive
face lock slow and battery ok camera is worst,negative
the mobile is very nice and happy with its performance,positive
,neutral
,positive
,positive
remarkable phone,positive
camera quality is very good,positive
dislike,negative
,positive
performance is good but display brightness is very low,positive
display quality is not good,negative
nice worth for money,positive
good products,positive
this phone is not onnig report thi,negative
this product is used for education purpose,positive
 like a gold,positive
,positive
,positive
hanging issue,negative
nice phone in this price range,positive
best gaming and photo phone,positive
,positive
dislike,negative
average,neutral
camera not good very poor quality,negative
,positive
,positive
battery life is worst,negative
wonderfully all things so good,positive
,positive
wrost product,negative
amazon thanks for product,positive
,positive
,positive
performance is slow,negative
battery charging takes a long time,negative
coming the lineing in phone,negative
font camera very bad,negative
,neutral
,positive
fabulous product recommend strongly,positive
,positive
camara,positive
worst phone cant buy,negative
v nice phone,positive
phone is good but camera and battery is average,negative
like this product,positive
better,positive
,positive
just love it thanks amazon,positive
,positive
,neutral
very slow device with old android version works very slow,negative
very nice phone and very reasonable everyone should buy this,positive
,positive
not at all nice phone waste phone,negative
,positive
,positive
,positive
best phone ever i'd use camera battery are awsm also prosser,positive
,positive
phone is so so,neutral
my phone not working please help,negative
best performance,positive
it is complete value for money,positive
mobile a31oppo dislike,negative
don't buy,negative
i love it,positive
good products and phone best battery,positive
,positive
volume is very slow not hearing,negative
,positive
,positive
,positive
best mobile at low price,positive
worst,negative
it's good and get it on timethanks amazon,positive
bad performance i want my money back,negative
nice mobil,positive
clear vision smooth operation speed as specified in mobile a31,positive
excellent android i received it yesterday i loved it thank you amazon,positive
i am always like oppo products,negative
value for money go for it,positive
,positive
,positive
working good,positive
looking is very betifull and i am happy,positive
just like ok,positive
good one mobile,positive
when are changing mobile are doing hitting,positive
,positive
good and original,positive
phone quality is best,positive
,positive
hanging problem started and charging pin is not working,negative
networking not working some problems and,negative
average mobile in this range,neutral
nice phone value for price,positive
bsttery life 85 picture quality best touch screen ok,positive
very good phone,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
mic is not working,negative
it's ok ok type,neutral
very nice product for the price,positive
screen quality was good,positive
happy,positive
,positive
picture quality is good,positive
nice experience,positive
it is useless product every time hanging,negative
good to use nice capture in both front and rear camera valuable price,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
value of money and light weight slim beautiful colour awesome features and camera quality,positive
i like phne,positive
i like it,positive
all is well but camera quality is poor,positive
very bad product,negative
it's good,positive
bad quality,negative
nice valuable for money there is no uasage problem til now thanks to oppo,positive
at this range it's a decent i'll say,positive
touch is working better but battery life is poor,negative
,positive
,positive
camera or display very low level price is so high,negative
i like this products,positive
,neutral
expected camera quality is not there,negative
worthful for money,positive
badhiya,negative
amazing phone smoothly work,positive
50,negative
ghh,negative
nil,neutral
new phone was overheating brushtvery bad phone,negative
bad phone very less brightness and very low volume,negative
all is well,positive
bat,neutral
,positive
amazing,positive
beautiful smart phone,positive
britnesss is low camara quality is very dull,negative
,positive
,positive
budget phone with 6 gb 128 but ringing sound is less,negative
,positive
,positive
dislike,negative
i like it good product,positive
awesome phone,positive
the battery life is longer also the display is very good quality,positive
very bad experience in oppo brand,negative
,positive
,positive
awesome product,positive
mobile is very soft working,positive
great mobile in reasonable price,positive
it's just awesome i loved it,positive
sir aux cable or headphone not use so what can i doo,negative
best volume and music,positive
,positive
display gone within month,negative
dislike,negative
,positive
value for money good battery backup,positive
overall good phone,positive
no problems till now,positive
hi,positive
overall good mobile,positive
very good mobile good product for low price,positive
,positive
this smartphone is very good,positive
excellent product,positive
,positive
west money,neutral
,positive
excellent product,positive
hanging and phone slows,negative
not satisfied with camera,negative
,neutral
super mobile and like that my husband thank u amezon,positive
this is the best quality of phone,positive
comportable,positive
i can use the product and it's fullyfied amazon seller,positive
this item not bad because nat working charger,positive
,positive
,neutral
,neutral
,neutral
,neutral
delivery and service is very good but inferior product worst model,negative
if will use c type charge then good,positive
received on very next day of order,positive
all functions are very good,positive
,neutral
brands are good,positive
,positive
poor features more options are not available,negative
awesome mobile in this range,positive
phone hangs a lot and automatically restarts all the time,negative
nice performance excellent product ty amazon,positive
,positive
battery camera is better than tach silver,positive
battery and camera bad,negative
,positive
ok but it has no accessories like headphones and etc,neutral
screen streaking,positive
not good hanging problem,negative
waste of money,negative
best in that price range,positive
product now work clearly nice,positive
waste of money promisedon't buy always hanging onlywe can't play pub g,negative
all good,positive
very nice phone camera is too good,positive
liked,positive
the product is very nicebut i need a call before delivery,positive
nice phone in this budget,positive
,positive
,positive
,positive
very worst product,negative
5,negative
overall good but camera quality is poor,positive
,positive
nice phone satisfied with it value for money,positive
,neutral
not happy with product want to return it pl help me,negative
mobile is getting heated up while charging,negative
,positive
it's a good mobile,positive
,positive
very nice phone all are goodpesa vasool phone,positive
as per price phone is good,positive
waste of money don't buy this phone,negative
battery life,positive
i brought three months ago ,positive
best in price,positive
this phone is iam like it,positive
,positive
i loved it,positive
,positive
,positive
camera is not clear photo and videos,negative
everything ok value for money,positive
hand pick price,positive
nice product within range,positive
product is good please send mobile bill for our future reference,positive
battery frequently when using mobile heet,positive
good mobile,positive
oppo a31 is very good phone camera is good,positive
charger point c is better than,positive
this price range are good,positive
super satisfied,positive
no anything that dislike,neutral
,positive
your pkg recd and but chargr not charging phone pl suggestions,negative
poor touch screen quality,negative
it is as expected,positive
,positive
god,positive
,positive
bettry fast charge no,negative
,positive
we like the product we use it for our children's online study,positive
good mobile,positive
display most of the time blinks,negative
internal memory and battery life is good,positive
unexpected no issues in mobile all are perfect,positive
slow charging and full heating,positive
phone was as mentioned by the company,positive
average,neutral
decent product for price range below 15000 if you dont want to go with xiomi,positive
,negative
sound is very low,negative
,positive
,positive
,positive
,positive
,positive
,positive
nice phone value for money,positive
no finger deducted,negative
liked as per budget,positive
not good work very slow,negative
wast of money,negative
connectivity is bad,negative
supr,positive
,positive
not liked,negative
not bad average,positive
worst phone don't buy,negative
,positive
style is good,positive
extent,positive
,positive
,positive
good product worth for money,positive
,positive
not working this mobile,negative
,positive
superb nice mobile good packing,positive
,positive
cost worthy and battery life,positive
not working video,negative
super duper phone,positive
oppo 31 i like phone,positive
best economic mobile,positive
good features sound effect also good,positive
,positive
touch screen awesome phone,positive
,positive
,neutral
nice smart phone,positive
,positive
the handset is missing in the package so sad the box does not contain handset,negative
the battery life isn't that great,negative
product not worth for money,negative
personal use,positive
,positive
,positive
,positive
nice mobile,positive
new box camera not working,negative
yes i am like that,positive
,positive
too old processor many not give long life,negative
not optimum level,negative
nice product works nicely,positive
touch screen problem is available in this mobile,negative
,positive
very nice i like it very much,positive
its really good,positive
voice of mobile is not good,negative
,neutral
,positive
phone heating speaker sound not good,negative
the picture quality is very bad,negative
,neutral
good mobile but battery life low,negative
,positive
camera features not good,negative
overall good phone,positive
,positive
excellent phone according to price,positive
hi,positive
,positive
i like this mobile,positive
,positive
he was full and worthy,positive
,positive
simple superb right product,positive
,positive
it was a really amazing smart phone by oppo,positive
not a good,negative
good experience,positive
not working,negative
nice look thin and,positive
,positive
good pricevalue for money,positive
the battery life is extremely good,positive
,positive
thank you,positive
,neutral
camera is not working,negative
set by ret,neutral
,neutral
not working properly suddenly got stuck,negative
,positive
super mobile phone best products,positive
dislike,negative
good one,positive
,positive
little problem as it gets hanged often,negative
,positive
,positive
not recommended,negative
,neutral
,positive
,positive
it is good to use for ppl who don't use phone mostly,positive
,positive
quality,positive
dislike we don't get earphones,negative
good one,positive
not good,negative
,positive
very good phone,positive
dislike,negative
chief best in price sigment,positive
,positive
side push buttn not detar,neutral
bad product,negative
,positive
camera is worst not satisfied with picture quality,negative
screen quality super camera is good,positive
nice battery backup,positive
the best in this price camera was the best i loved it,positive
,negative
low price good product,positive
,positive
very nice product also very low price,positive
it is worth to buy,positive
thanks,positive
good nice,positive
amazing phone,positive
,positive
,positive
i like this phone colour feature but i dis appointed it can hart up quickly,negative
,positive
,positive
mobile is awesome,positive
i like all things but camera quality is not good as much,negative
camera is good for girls,positive
good mobile,positive
very bad display quality and touch screen also,negative
very bad quality anyone no purchase this phone,negative
,positive
really nice,positive
really good,positive
,positive
,positive
,positive
west of money bogus product,negative
display issue bought april 2021,negative
good phone worth for money,positive
the product was upto expectations,positive
,positive
,positive
,positive
not a good product,negative
,positive
,positive
totally disappointed,negative
nice looking wow wow wow,positive
,positive
6gb ram but mobile phone is slowly working,negative
very slow camera very bad condition,negative
,positive
a little hanging problem,negative
phone back color is suparb,positive
no video no photo click,neutral
,positive
it is very cool,positive
better value products and rated,positive
you should also provide earphone,positive
battery is 4300 mah so battery life is very nice,positive
,positive
,positive
very good quality product,positive
the best mobile,positive
good not like the other chinese mobiles,positive
flash light not working,negative
,negative
dislike,negative
it's not working,negative
best quality fast delivery liked it,positive
is this a good product for this price i think it's best mobile for me,positive
,positive
mobail not a fast,negative
repeat,neutral
mobile is good,positive
chipest but exclusive fiture pic quality is best,positive
touch is heavy,negative
good mobile phone for this price range,positive
average,neutral
,positive
best for money saver,positive
,positive
phone receive charger charger receive and air phone not received,negative
,neutral
at this budget ok ok,neutral
hang up on phone,negative
bty backup is good and camera clarity is so good,positive
i like it,positive
not working phone sound and video,negative
,positive
very nice phone,positive
,positive
good product good delivery in amazon,positive
best phone in this price range,positive
,positive
the product is very good i like it,positive
product is ok,positive
,positive
good mobile best price,positive
it's very good,positive
average,neutral
,positive
the battery life and screen quality are good,positive
lead not available backup not good,negative
,positive
worst need replacement,negative
,positive
,positive
upgrade battery,positive
good looking,positive
,positive
light weight nice pic quality,positive
headphones missing in the seal box,negative
camara not good,negative
excellent product and excellent quality,positive
,positive
,positive
great experience,positive
,positive
warmth,positive
,positive
happy,positive
sometimes it's having a stuck problem,negative
bad phone hangs up a lot,negative
,positive
my favorite phone is the oppo a31,positive
3 star only,positive
,positive
a31 is very good,positive
very good at this range,positive
waste product,negative
not bad,positive
phone is sleem and camera is better,negative
great product,positive
amazing on amazon,positive
this mobile is amazingwith exchange its awesome,positive
waste,negative
,positive
camera quality is so bad,negative
,positive
nice products oppo a31,positive
yes really value for money,positive
,positive
camera should be more better,negative
super mobile with this price,positive
,positive
not good as mentioned things about it,negative
camera quality is poor,negative
hi the camera was not up to the mark even the loudspeaker,negative
piss good,positive
hi,positive
good looking phone,positive
for gaming it is not good,negative
very slow working,negative
,positive
i love it smart buy,positive
this phone is so good and so nice thanku amazon,positive
must use his mobile nice products,positive
ranjan you,positive
nice phone for their value,positive
very thin in comparison of oppo f11 so i want to return it,negative
,positive
,positive
good product oppo mobile,positive
,positive
defective product,negative
,neutral
product body bend,positive
not ok,negative
whatsapp camera is wron hig,positive
,positive
,positive
,positive
avree,positive
,positive
,neutral
i love this product it's amazing,positive
headset not giving,negative
hi,positive
display problem,negative
good quality and easy to use it,positive
this phone very bad fully huge,negative
good product in this budget but phone speed can be better,positive
low quality,negative
,positive
good condition,positive
battery backup ist very p r,positive
video braking problem how to returned this set,negative
,positive
i like charging but it's heating,positive
this is the best budget phone ever,positive
screen quality very nice,positive
it's a best smartphone for retailers,positive
good battery backup,positive
nice products,positive
no sound,negative
,neutral
,positive
,positive
get another phone,negative
very worst mobile do not purchase it,negative
ear phone is missing,negative
device are good but invoice have not received,positive
i feel good one,positive
,positive
phone is not so good as wasted money,negative
,positive
,positive
sometimes its touch not proper,negative
not value for money,negative
its really good phone with this budget,positive
,neutral
best price segment in the segment,positive
,positive
,positive
,neutral
good quality phone,positive
cool,positive
display,positive
,positive
,positive
expected more speed in operation but disappointed,negative
it is a refurbished mobile please don't buy,negative
battery health not good,negative
,neutral
quality is very bad,negative
average,neutral
,neutral
charger damage,negative
,positive
phone is very slow and hang,negative
like phone,positive
not satisfied in oppo phone,negative
below average,negative
satisfactory,positive
,neutral
screen quality is very bad,negative
worst 12000 no earphones,negative
,positive
,positive
good nice,positive
poor,negative
charging period is during time,negative
,neutral
awesome product,positive
excellent quality,positive
this product is very nice but sound quality is not good,positive
,positive
touch and photo quality,positive
all products are very good,positive
good mobile,positive
easy to use,positive
it is a wonderful set best camera i am satisfied in this feature,positive
i just loved it,positive
satisfy with the product,positive
camera quality very bad and hangs,negative
not satisfactory frequent voice problem,negative
sound quality not good,negative
worth for money fabulaus phone but not include ear phone inside box,positive
touch performance was very poor,negative
,positive
awesome phone at this price range,positive
i like this phone but battery size 4230,positive
super mobile phones oppo,positive
the features are great,positive
all good,positive
fake phone garbage phone trash phone,negative
camera very poor quality,negative
,positive
everything is good,positive
all feature of this are best,positive
batter but better rhoda,positive
,positive
,positive
,positive
overall not good,negative
ok ok product not over good,negative
,neutral
not a good product and scratch on screen,negative
very quick action,positive
,positive
,positive
i like it's storage,positive
it's an amazing phone,positive
,positive
amazing,positive
very good mobile all r nice,positive
wastegae of money,negative
the battery is very worst,negative
for normal use its good,positive
,positive
,positive
camera clarity is very bad,negative
,positive
thank you amazon,positive
i like,positive
i like,positive
not ok,negative
good phone under 15000 budget,positive
screen brightness is very low,negative
don't buy,negative
battery life should be improved,negative
,positive
,neutral
subodh,negative
,positive
,negative
,positive
,neutral
bed fon,neutral
,positive
very very bad experience,negative
,positive
unhappy,negative
,positive
,positive
,positive
nothing,neutral
mobile heating issue,negative
,positive
i like this product,positive
value for money good battery backup,positive
very boring phone,negative
not good as i think about it,negative
i like,positive
,positive
5 star,positive
,positive
ok battery life is so,positive
,positive
battery life is very poor,negative
,positive
poor farformance bad phone,negative
,positive
i like features,positive
so many problems with this phone,negative
,positive
,positive
i like to amazon,positive
,neutral
,neutral
,positive
bad phone,negative
uh,neutral
it's good,positive
,positive
the phone was very hot,negative
earphone not received,negative
,positive
,positive
value of money 11990,positive
very bad product,negative
like the product and service,positive
nice mobile for grabbing with best price,positive
awesome worth for use and worth to money,positive
,neutral
everything will work a good,positive
damage item,negative
i like it,positive
,positive
no earphones given in the box we need to buy separately,negative
camara clarity is very poor,negative
battery quality is not good,negative
,positive
finishing,positive
,positive
,neutral
best below 15k smart phone available in the market,positive
,positive
sound photo clarity to be improve,positive
,positive
,positive
good mobile phone,positive
,positive
simply the best,positive
phone quality not good,negative
,negative
excited,positive
good but not performing good,neutral
,positive
thank you amazon,positive
camera quality not good,negative
super camera,positive
amazon is the best platform to buy products,positive
very very happy,positive
,neutral
,positive
nice mobile i love it,positive
,positive
,neutral
,positive
nyc mobile,positive
good item,positive
good brand for lower budget,positive
average,neutral
excellent phone,positive
,positive
,positive
,neutral
face unlock is bad and camera is the bestoverall good mobile,positive
,positive
battery n camera awesomevalu for money,positive
,positive
so good mobile,positive
this is except,negative
very bad phone hang,negative
,positive
good mobile phone,positive
the products looks good and the delivery boy is really good in behaviour,positive
nice ph but i no earphones in the boxcamera is not good,positive
best phone with low cost,positive
good battery life,positive
 value for money,positive
,positive
,positive
,positive
i don't like this phone they gave me by breaking the glass,negative
,neutral
best budget smart phone,positive
,positive
,positive
,positive
,positive
,neutral
,neutral
,positive
,positive
,positive
not work as per requirement and not working properly,negative
,neutral
it's a good deal,positive
and all good,positive
hanging problem,negative
not good,negative
nycccc one,neutral
very nice phone,positive
head phone was missing in box,negative
,positive
,positive
,positive
,positive
,positive
all good,positive
,positive
,positive
,positive
best screen quality,positive
this is a good and faster app,positive
very good mobile,positive
,positive
,positive
,positive
,positive
i'm loving it,positive
,positive
,neutral
excellent service,positive
,positive
okay product,positive
awesome phone in this range of money,positive
apps hanging,negative
camera not good,negative
dislike,negative
it comes with more thickness and it's very smooth,positive
,positive
not satisfied,negative
,positive
,positive
,positive
visit dish,positive
cameras quality is not good,negative
good purchase,positive
,positive
camera quality,negative
,positive
not good,negative
not good,negative
,neutral
,positive
i like this phone,positive
,negative
all items good,positive
,positive
,positive
,positive
excellent product,positive
headset is missing in the shipped unit,negative
worst phone,negative
the product is just ok,neutral
,neutral
lo,neutral
,positive
average,neutral
,positive
very nice product,positive
nice phonenice delevery,positive
nice mobile,positive
good prodect,positive
,positive
awesome phone,positive
,positive
,positive
,positive
,positive
worst product,negative
battery life is good,positive
 quality,positive
,negative
,neutral
battery life not long,negative
quality,positive
useless,negative
tik,neutral
,neutral
all good,positive
dislike,negative
speaker and video is very low quality,negative
the picture quality is very good,positive
niche,positive
repeat purchase the first one was satisfying,positive
good service,positive
valu for money,positive
best mobile phone,positive
more than 10 hrs,negative
,positive
colour,neutral
phone speed was too slow don't buy it,negative
battery life is good,positive
need exchange,negative
,positive
,positive
,positive
 and havey,positive
picture good quality,positive
supreb,positive
week,positive
headset not received,negative
,neutral
,positive
very good quality,positive
awesome phone with great features,positive
,positive
better price,positive
this item is broken,negative
hi,positive
not like touch screen,negative
excellent mobile phone and color wow,positive
very nice product,positive
phone heating problem,negative
,positive
good one,positive
,neutral
,positive
3rd class quality,positive
worth it,positive
,positive
good item good qulitiy,positive
i like that colour,positive
good rate light weight,positive
good performance,positive
,positive
not good,negative
wow awesome,positive
,neutral
best one to buy,positive
very good mobile,positive
very nyc,positive
,positive
go for this,positive
like that,positive
 in less price,positive
,positive
v good,positive
excellent mobile and good product oppo,positive
like product,positive
,positive
,neutral
i like it,positive
,positive
i like it,positive
,positive
good phone good picture quality,positive
,positive
,positive
,positive
,positive
,positive
,positive
,positive
the product is very good,positive
,positive
the camera is very bad,negative
,positive
on time delivery value for the promise,positive
the product is very good,positive
awesome camera quality and screen,positive
,positive
,positive
peter,positive
1000rs loss,negative
,positive
phone deliver not good,negative
liked,positive
better phone price,positive
oppo a31 is very good phone,positive
,positive
,positive
,positive
,positive
nothing,neutral
it's best that money,positive
,positive
picture quality disgusting,negative
,positive
like it,positive
nice handsets,positive
,positive
,neutral
camera quality is too poor,negative
sleek design with nice function,positive
screen is worst,negative
best quality,positive
,positive
i like it very much,positive
only good,positive
nice phone in budget,positive
it's not a new phone,neutral
sir battery pack up cam h,negative
sound is very slow,negative
nice one love it,positive
nice product fast delivery,positive
all over good,positive
it's a nice product and it's features are also nice,positive
,positive
overhaul good,positive
,positive
,positive
,positive
good ones,positive
,positive
nice product nice battery v nice camera,positive
ok good,positive
,positive
,positive
all good,positive
i like that phone,positive
i have received the defeated oppo mobile,negative
super mobile,positive
very good service,positive
nyc,positive
very bad may be oldest,negative
dislick,negative
,positive
all is very good,positive
,positive
i like this product,positive
product not good this phone is problem,negative
it's good as per amount,positive
good but the camera is not that good,positive
,positive
,positive
,positive
very very nice good product,positive
very nice fone,positive
,positive
,positive
,positive
battery life,positive
,positive
it's good,positive
,positive
,positive
,positive
,neutral
worth for money,positive
,neutral
,positive
all good,positive
,positive
beutiful,positive
everything is good mostly the color is very nic,positive
,positive
,positive
,positive
awesome product best in market,positive
bad quality,negative
take another brand or other brand,positive
oppo super,positive
,positive
,positive
nice mobail,positive
worst sound quality and display camera,negative
my finger print not working,negative
phone is not good,negative
the camera is very bad,negative
all super,positive
,positive
not good hank,negative
all are good,positive
,positive
everything is fine,positive
it's worth of money,positive
nic phone in these price,positive
,negative
the battery is not good,negative
,positive
,positive
,positive
so nice,positive
the worst product,negative
,positive
i like it,positive
it's a amazing product i am very full fill,positive
,negative
much better,positive
worst,negative
,positive
network issues,negative
best phone under 13000 rupees and value for money,positive
,positive
,positive
good condition,positive
good cell phone,positive
it's good,positive
wery nice,positive
,positive
nice using from last one month,positive
battery backups issues,negative
,positive
a good choice in best price,positive
,positive
,positive
,positive
loved this phone very much,positive
i think it is west,neutral
,positive
always good,positive
,positive
charging problem not fast charging too slow charging,negative
not badnice phone,positive
,positive
,positive
great service,positive
,positive
,positive
phone is note good and performance camera note,positive
i didn't get a earphone,negative
,positive
,positive
,positive
,positive
ear phone is not available in the pack what to do,negative
no headset,negative
,positive
,positive
,positive
sooper,positive
,positive
,positive
battery not good,negative
camera is not good,negative
worth for money,positive
reasonably good phone in the budget,positive
everything was normal,neutral
,positive
,positive
,neutral
super sexy hot phone,positive
sp,negative
nice mobile value off money,positive
camera very bad,negative
,neutral
,positive
good mobile,positive
,positive
very slow,negative
,positive
,positive
,positive
value of money,positive
not working properly,negative
not happy,negative
,positive
,positive
,positive
west phone,neutral
,positive
,positive
i like the phone,positive
,positive
,positive
,positive
,positive
,positive
not working properly6day problem in mobile,negative
,positive
,positive
,neutral
,positive
,positive
,positive
nice pic,positive
very nice company and phone,positive
,positive
,neutral
,positive
xcellent,positive
fantastic,positive
awesome mobile,positive
phone has heating problem i want to return it,negative
,positive
happy,positive
,positive
,positive
,positive
good at every aspect,positive
ear phone not received in your pack of oppo a31,negative
,positive
,positive
thank,positive
likd it,positive
average,neutral
good one but earphone not received with mobile,positive
avg,neutral
,positive
,neutral
this is good i really like it,positive
,positive
good offer,positive
,positive
totally loss of money,negative
,positive
awesome mobile in that price,positive
no disliking,neutral
,positive
okpiece,neutral
,positive
,positive
bad performance,negative
worst camera quality,negative
like this,positive
thanks,positive
battery slow,negative
,positive
,positive
,positive
not received ear phone,negative
,positive
,positive
less quality and camera quality is very bad,negative
very bad product,negative
,positive
,negative
,positive
waste of money battery performance low,negative
,positive
too bad,negative
,positive
i like it,positive
,positive
display not working within 5 months of purchase,negative
,positive
very poor battery life,negative
,positive
pintu,positive
,neutral
,positive
,positive
nice handset,positive
head phone not given,negative
not bad,positive
,positive
,positive
,positive
,positive
it,positive
liked,positive
the west,neutral
,positive
,positive
hi,positive
,positive
,positive
excellent mobile,positive
bad pic quality,negative
,positive
,neutral
great phone,positive
,positive
overall good,positive
,positive
,positive
,positive
i like this,positive
,positive
